Transaction ID,Customer ID,Transaction Date,Transaction Amount,Merchant,Location,Transaction Type,Card Type,Is Fraudulent
061bb8e0-575b-4cbe-8170-40489619c841,1c83e4db-0b69-41c9-9233-f885a776280b,2023-10-15 23:59:22,1669.88,"Walker, Nash and Blair",Port Stephanieport,ATM Withdrawal,MasterCard,Yes
8e2bc150-42c8-4b9e-826f-ad3bf257223d,8a3f687f-e876-45f0-8093-42f27bd7707e,2023-11-12 19:54:21,333.68,"Madden, Shepard and Ruiz",Port Andrea,ATM Withdrawal,Amex,Yes
061b5ccd-44b9-4b8d-9da0-c93d92372c8b,2bcc7165-043c-4b63-978d-d4fa69501951,2024-04-06 08:02:53,716.99,"Vazquez, Carter and Strickland",North Allisonville,Online Purchase,Amex,No
05661a02-b825-489e-a8d2-26acd5e27748,c0acfacd-7353-4dd0-91d2-a1eea0a23446,2024-01-09 15:48:33,1343.65,Rodriguez-Garza,Johnhaven,Online Purchase,Discover,Yes
b5791587-3688-4b90-b243-8fa4160f50c3,433c571d-3e9b-4719-9973-488cdb05d0f6,2023-12-21 05:58:06,1406.62,Reyes PLC,Lake Robertshire,Online Purchase,MasterCard,Yes
c591ef2f-23dc-4556-bb26-38b823c4a3c1,644b6e46-8d2f-4ce2-a82c-9fc8f1249f6b,2024-02-15 09:00:33,1370.26,Gillespie-Perez,Williamsland,In-Store Purchase,Amex,Yes
340cce32-e130-4563-8b92-6cedfbfe5807,019391f6-b7be-42f3-b325-e0f65e88d358,2024-06-10 13:18:36,152.09,Christian-Murphy,Smithchester,ATM Withdrawal,MasterCard,Yes
95a6ac0a-a678-4bdc-a2e4-f56fc5f30749,f62e86e2-ecc5-43ea-be16-58046d4906d2,2024-06-14 14:02:52,1273.61,"Hull, Meza and Evans",Johnville,Online Purchase,Amex,No
5631337b-4e87-47d4-a5ef-2c0bdec0a685,aebcf2bf-4599-41a7-afa2-16a5b4e2c607,2023-09-25 11:40:25,1072.94,Phelps-Flynn,Lake Larryfurt,In-Store Purchase,Amex,Yes
6ffb7a33-6c73-45a7-a8cf-889577e298cb,829448bb-cf7a-4998-87e6-332d4ddcfcb0,2023-11-11 21:49:08,497.17,Mitchell-Hunter,Stephensberg,Online Purchase,Discover,No
c118cb28-aae0-4777-aaf3-dfdfb4148bb6,9b9bc568-81b9-43fb-a043-272be37e29ff,2024-03-06 05:10:06,929.9,"Martin, Cannon and Ray",South Johnshire,Online Purchase,Amex,Yes
a80dcd6a-c04b-4eaa-9a98-9bae02522afe,84a25205-60c2-414d-a4dc-497008e7591b,2023-10-31 00:51:23,547.2,Garcia Inc,Gregorymouth,Online Purchase,Visa,No
22931ea6-0875-41f3-83cf-84e556e6988f,d1bd823e-3a3c-4d10-a56a-c12e5034d85c,2024-04-12 07:31:27,1851.53,Mason-Scott,Jameschester,ATM Withdrawal,Amex,No
7ec2e5af-5df8-42ba-bd0d-d69bffbb3d9c,bd15423a-23da-4578-84a3-c967a6d028ae,2024-04-11 08:11:19,1379.44,Blackwell-Nolan,East Tonya,Online Purchase,Amex,Yes
c145be7b-87b3-479d-a669-c946bd7c53b1,857b29a9-10c8-426d-a2fa-e75e1731e822,2024-05-24 18:27:23,447.03,"Sanchez, Brown and Navarro",Pamelaborough,In-Store Purchase,Amex,Yes
b4de30d6-1554-4e8a-a593-f17dcfcb58ea,7622de07-b871-4a94-a1eb-02aa9d161658,2024-07-11 11:35:24,655.32,"Rivera, Manning and Brown",Lake Lisaborough,Online Purchase,Amex,No
26579ff1-96bb-4546-9d17-677c0a1a2c42,7105a39a-5ce5-44c0-8bd9-cb6e7b07e88c,2024-06-28 00:31:14,1538.94,Brock-Mitchell,Jacksonfort,ATM Withdrawal,Visa,No
da33f902-415b-4e57-ac64-d9fb68ee6347,0338a7a0-b282-4f87-aaac-e8eb757b2caf,2024-07-19 20:50:21,121.32,"Moyer, Collins and Lucas",Laurenhaven,Online Purchase,Discover,No
6d39d0d1-838d-47a5-af50-a53b05a391d5,4d5e1663-8aac-4e63-8f11-484e17c19af8,2024-06-18 18:13:56,1645.39,"Fisher, Beasley and Smith",East Sarah,ATM Withdrawal,MasterCard,Yes
023f99fd-acc5-4441-9c8b-caa4d4d19e1d,498ad808-2097-4769-874a-7d39c3540248,2024-07-01 09:23:29,1612.04,Johnson Group,New Andreastad,ATM Withdrawal,Discover,Yes
5e110aa8-6bca-4e13-86bb-14ba68c97dcc,954dd113-3cc8-4896-bf3d-c31beadc2a61,2024-08-03 07:42:51,808.32,Yang-Levy,West Michael,In-Store Purchase,MasterCard,Yes
771d546a-7897-4afe-9bb3-804b7bb795b0,2f2a82ba-cfdb-4bf5-803b-8f90e7e84642,2024-01-23 20:25:37,141.72,"Wheeler, Crawford and Leach",South Kristenville,In-Store Purchase,Visa,Yes
73b80b00-7f37-4aaf-9911-9c685301e3dc,23242f06-443e-424f-a895-9514b1491f98,2024-01-31 13:47:53,1827.14,"Odonnell, Silva and West",Deanland,ATM Withdrawal,Visa,Yes
3495e78a-ab88-4057-9bb3-fb528e27e14b,6aa10191-b022-4964-b12b-60c6a75350cb,2024-07-06 19:01:44,1138.69,Trujillo Ltd,Lucasside,ATM Withdrawal,Visa,Yes
7ab72c2a-e304-45e8-95f5-04ef99e2d8eb,0c843637-6383-46a8-aa2c-d289f21bb42e,2024-02-14 02:54:10,1438.65,Warren Inc,Lake Linda,ATM Withdrawal,Amex,No
015bf783-15dd-4ec4-9d49-1411185efe11,2f1333ab-da1e-48f8-ba0d-0b83a5d13b74,2024-07-22 06:02:06,433.13,Arnold-Jones,Parkerbury,Online Purchase,Amex,No
ecae1a73-da07-482a-a39f-f47ba6be9705,b185285b-b4e4-474c-ab3c-54e0557c8b13,2024-04-18 02:50:29,1003.47,"Estrada, Buchanan and Bowers",Fosterport,In-Store Purchase,Visa,No
c303c2e7-1c47-499c-bb74-0c126cec3818,cdae3724-9f51-47c9-84be-142d09cb45b5,2024-08-19 07:11:47,1770.52,Stanley Inc,Brianstad,ATM Withdrawal,Visa,No
d7b1efaf-378b-457d-a3a7-0718a8635b57,29c1ddd4-6aa9-409e-ac4a-0acd5cd95866,2023-09-28 21:46:28,1289.28,"Shea, Hurley and Griffin",Langfurt,In-Store Purchase,Discover,Yes
2efbb91a-4f13-4df5-94b4-22d8bd2e8f88,fdc9dd41-82d9-42c6-bfb9-e9eef1c4955a,2023-09-10 16:42:23,294.31,"Davis, Schwartz and Acosta",Higginsview,In-Store Purchase,Amex,No
4d379a35-b790-456c-97af-ea438886e2d1,580c7a04-cfde-42eb-81e3-46526f25658b,2024-02-05 18:29:48,287.86,Odom-Gardner,Strongshire,Online Purchase,Amex,No
80344cc3-4cc0-4120-aa4f-dddd6d29f840,2e497128-9119-45b6-9da1-450c6fee7ee7,2023-10-18 00:03:32,1492.53,Guzman-Fernandez,Thompsonbury,Online Purchase,Visa,Yes
fea11c9a-f8fd-419e-b6c4-8bc8fc101c79,76e1fbe6-3cfd-470c-92dc-c669ba5cd2b8,2024-05-17 11:50:56,1082.56,Rodriguez-Williams,Garciaberg,Online Purchase,MasterCard,Yes
156ce896-9d8f-431c-aba0-16f7840643f6,2039a2a9-2cf5-4eea-ab3e-348f01c3a683,2024-05-24 18:32:06,1496.56,Ferguson LLC,Oliverbury,In-Store Purchase,MasterCard,No
7f86d9fb-bd7f-4b89-8d2a-831a48bdfef9,9bb9c99c-cf51-47b2-8590-6a02a0c9f6e9,2024-03-15 21:53:20,862.58,"Shaw, Brown and Miles",Lake Ryan,ATM Withdrawal,MasterCard,No
46644f3f-0a2a-4d71-9e07-75bac7b96134,b24e4dff-6e33-4ece-ad4a-8f3c6c5e4138,2023-12-10 04:26:46,1171.23,Anderson Group,Welchshire,In-Store Purchase,Visa,Yes
ddb30b65-f22e-4b21-bd76-1f26ceb54fdb,681aac75-9b03-4dec-9d77-7e65b1230d3c,2023-10-27 04:49:48,730.37,"Franklin, Baker and Jordan",Lake Trevor,Online Purchase,MasterCard,No
41fa9a78-999b-44dc-b61d-5b573ee9429a,4b8f4654-88f2-42c0-8e41-42d81ea8aaac,2024-03-05 08:46:34,1994.68,Johnson-Shaw,West Scott,ATM Withdrawal,Visa,No
37d5a0e4-20a0-4b80-aa09-2183cd6cf6a6,3af50a37-2782-4619-9cf2-8f9fd5648692,2024-04-29 19:58:57,285.28,Martinez-Larson,Jessicabury,In-Store Purchase,Discover,No
a397e225-9475-4fec-b718-40dacda36f8f,d7263d28-18ff-4952-a6d7-28f881c5127f,2023-10-07 16:44:19,992.1,Harris-Huber,Dunnview,ATM Withdrawal,Visa,No
c6d2940b-60b7-46fb-907d-b7acfd5431b6,2bcbb94f-0f8d-45bd-9d24-e6d0f67f97e9,2023-09-12 08:20:01,1514.01,Reyes-Gordon,Evanside,Online Purchase,Discover,Yes
a3792c7f-bed9-4f3d-ab8f-c00cf903bb1a,740976bc-180d-4c65-bc06-95503be657a4,2023-12-03 13:03:56,1723.59,Robertson-Mendez,New Megan,In-Store Purchase,MasterCard,Yes
5f5d60ed-7a55-47f9-951f-b90a5016d8ac,b2050917-2c09-4072-9cbd-8b4a180e9403,2023-12-01 21:31:49,314.15,Price Group,Lisaport,ATM Withdrawal,Discover,No
3cde044b-f7c9-4745-b612-ba5f899cd453,dfa644c4-1459-4c51-808c-0d0d6e139cfc,2024-02-16 10:40:05,328.36,Harding-Barron,Smithchester,In-Store Purchase,Discover,No
9d121add-11b4-4917-b127-2405383baa5e,be662251-09f5-4242-b243-0888bcf72040,2023-12-12 22:30:07,1364.16,Thomas-Lawson,Gonzalezside,In-Store Purchase,Amex,No
29a87aa4-5658-48e6-b544-0e1786aa4b87,bf1e188f-7cff-4c63-956a-d17cc00371fc,2024-03-10 21:40:07,1196.85,Cole-Nelson,Ericksonview,In-Store Purchase,Visa,No
a759478a-362e-4b3d-9cbc-c21ed4b0c6f4,086aabdd-a41c-4f78-b636-220a439dfdaf,2023-09-26 00:25:52,775.69,"Griffith, Trevino and Wilson",New Amberstad,ATM Withdrawal,Visa,Yes
2b746e19-cc18-473c-b9ca-cdabc5df6749,9f1b780e-d93d-494d-98c7-c351c94fbc14,2024-05-21 17:28:50,1195.82,"Watts, Morales and Lucas",North Rachael,ATM Withdrawal,Discover,Yes
6828ea8f-a366-46b6-a2a3-86770739e840,1bb06e1e-e644-4346-b9fa-dd85a6894e7d,2023-10-21 07:28:54,941.42,Silva PLC,East Crystal,ATM Withdrawal,Amex,No
0075777a-4d00-4877-93d5-56e448b0d75d,dfa70fd8-44b1-411d-8e4f-d36694a4ad95,2024-02-20 22:04:29,510.31,Simpson-Garrett,Williamsville,In-Store Purchase,MasterCard,No
2cdd1390-289e-48ef-8d24-203ef3bba916,1be93437-9982-4998-af97-5a7f5e57f5e3,2024-05-30 16:16:40,1110.92,May LLC,West Margaretmouth,Online Purchase,Discover,Yes
68617932-ea10-4ac1-976c-65f8d95eb1ba,00c798f4-22dd-4ae2-9b3b-97587cb768ac,2024-07-16 13:23:09,1885.44,Romero LLC,Stacyland,Online Purchase,Visa,Yes
af94931f-4aee-4003-bfec-be3309e3749e,d721cab5-ada2-45e6-b52a-ed80594f1607,2023-09-02 12:38:30,1363.76,Hampton Inc,Lewiston,Online Purchase,Visa,Yes
1e31102b-3806-48d7-a45c-a8f591b9d853,2bac0883-9e6d-4e0b-9cd3-817baf3e465b,2023-12-09 06:21:42,237.96,"Brown, Johnson and Miller",South Jimburgh,In-Store Purchase,Discover,Yes
edc850e0-a170-4c8f-9235-7a80a5fc7194,6256df65-e6a7-487e-bc1d-228996907137,2023-11-29 05:36:57,1770.73,"Jones, Williams and Maddox",Ericbury,Online Purchase,Amex,Yes
a107cba9-6437-4b2c-b10b-9f2fe23bd502,5cb67c09-7022-4497-afa0-1a208266399c,2024-06-26 03:46:00,1504.25,Reynolds-Johnson,Andrewsstad,ATM Withdrawal,Amex,Yes
c5fc5e69-c253-485a-8199-cf21deddaab6,8e19890a-1781-4abb-8726-795da206e327,2024-06-14 15:32:33,1539.51,"Ingram, Conrad and Porter",East Mariefort,ATM Withdrawal,Amex,Yes
3cf4e3aa-bb9d-45ee-94ec-3b666200b595,6594893f-aa56-4668-96b5-40d864efa1c9,2024-01-05 09:20:15,686.95,Sanchez LLC,Silvaville,ATM Withdrawal,MasterCard,No
5119b4d9-14a6-4111-83dc-c539af677707,63c641a1-acf1-4d6b-90bd-2fda4dee6558,2024-02-29 21:07:36,594.07,"Martin, Taylor and Hall",Nealshire,In-Store Purchase,Amex,No
f9d209f6-113f-4fac-b74a-4cfc507a5bb1,89a3070e-4efd-451c-b524-871005887c4a,2024-06-14 19:36:39,324.73,"Ayers, Banks and Collins",South Steven,In-Store Purchase,Discover,No
c3c9a732-cb7a-45ac-8bd8-530043f6f639,add8d223-0d08-49af-98e2-9ecb45a722d8,2024-03-22 19:37:46,16.46,Green and Sons,New Austin,In-Store Purchase,Visa,Yes
66210734-883c-4244-b263-a69684826889,6d93efd7-6631-47fa-85ad-ba4b4403073c,2024-04-15 05:22:32,1446.96,Carr and Sons,Lynchport,In-Store Purchase,Visa,No
0927c4a8-e3dd-4c51-a0b5-c32940340034,b7e9a433-a99c-4c70-8552-6085b3b4a4fa,2024-07-04 22:13:28,1442.16,Moyer-Rodriguez,Port Beckystad,ATM Withdrawal,Discover,No
af02fba5-88b0-48fd-bb42-7ee0db111aad,c899e2ec-7732-4653-9ba9-1eb65e22b945,2024-06-20 05:11:47,1944.06,Green-Giles,Jenniferfurt,ATM Withdrawal,Visa,Yes
afcbe3d9-fb35-4d4f-9c20-b0dffd3e55f5,92b5f07a-1856-47cf-b868-0597527cb02e,2023-10-07 12:33:30,1526.3,Pierce-Gross,South Elizabethstad,Online Purchase,MasterCard,Yes
90e39e40-df28-46b7-a030-e89233b3b08d,677f1daf-93d0-4ec4-b4de-a55a247d565e,2024-04-23 13:59:53,1020.29,Newton-Olson,Bobbystad,ATM Withdrawal,MasterCard,No
3d06dcb2-8f07-44c9-9ff5-3eeed2ad9b84,632c71b7-0d35-43e7-9f37-898c8dc87a73,2023-11-05 00:35:28,221.76,Greene-Patterson,Thomasmouth,In-Store Purchase,MasterCard,No
69a59b35-f0b1-4400-b969-6b4de4978064,8398c09c-fd1f-4833-82e3-962a5bdc8516,2024-03-28 22:37:38,1254.35,"Gonzalez, Parker and Charles",Port Davidberg,In-Store Purchase,Amex,No
a48ee257-6eb1-4cd5-bb3e-e42be630ec8c,b4874848-2386-41d5-b12d-d1452ae3ef84,2024-05-16 12:06:47,1684.92,Lee-Mcintosh,Hannahton,Online Purchase,Visa,No
e9e1a728-664b-4e3b-ac93-8388701280e9,abebaefc-df1a-4228-903b-f78ad02a0c71,2023-10-06 16:36:57,1020.25,Garcia-Hicks,Port Adamtown,Online Purchase,MasterCard,No
61e38928-c2da-45e6-b3db-ef0af1d5b641,b11c1859-76fa-4f78-b77b-d7e2afc93722,2023-10-10 00:14:22,405.83,"Taylor, Ward and Wood",East Douglas,Online Purchase,MasterCard,Yes
2bb0cd93-6a30-40a2-a073-b3db9d19f95f,4dd0251d-4077-458c-a6d0-e904b7b287d0,2024-02-23 10:10:48,754.09,Clements PLC,Lake Jamie,ATM Withdrawal,Discover,No
6562f290-6286-403c-91ef-b26833021814,4e75751d-d394-4665-b7b6-b5dc562bcbc9,2024-05-16 19:10:36,331.48,Martinez-Stevenson,Delgadoshire,Online Purchase,Amex,No
b37b9025-aea2-444b-bf15-4dfe2270d270,f91ed052-22df-400f-b01b-7b561a6c0e01,2024-04-12 06:44:27,1907.46,"Wilson, Flores and Moore",Adamfort,In-Store Purchase,Visa,Yes
031b2377-bc07-4857-886a-a90847fc3f43,e14f3a6d-2aa3-4ee0-9161-eb7c7a90d414,2023-11-21 04:27:31,1845.64,Garrett-Snyder,New Scott,In-Store Purchase,Discover,Yes
12f0a516-8ef4-43a2-9060-0d8a4d1a93cf,eb5bf4a4-971e-416d-8f1c-39f5ac7cfd5b,2024-04-02 08:41:33,1837.8,Burch Group,East Andreamouth,ATM Withdrawal,Visa,Yes
25e7ae1b-b7fc-42ab-a6f4-0e6cd47710a4,fc87afef-d5fa-4829-abab-cac44e9b3619,2024-06-30 13:48:33,1201.9,"Garcia, Lopez and Alvarez",Jeremyburgh,ATM Withdrawal,MasterCard,Yes
99d1bd6c-1323-4819-9c48-fa29b394be32,0ff398ce-470e-40b1-b77a-aecc012158b4,2023-08-24 20:02:00,982.33,Vincent PLC,Payneside,Online Purchase,Amex,Yes
7bbb508c-4ff9-4799-a429-e2f46fbfdb34,6bc2d40c-7a09-4055-a1e7-3c87b581f5e9,2023-11-06 15:09:29,232.62,"Sanders, James and Nolan",Connieberg,ATM Withdrawal,MasterCard,Yes
ce01ce69-93f3-429a-9b76-675525d97d50,2eaf2b10-9c24-4217-a478-0e8625bca2e1,2023-12-06 22:20:27,732.33,Larson and Sons,Holdenport,ATM Withdrawal,Discover,Yes
4f5a2aac-8e55-4165-88bf-9424c8fa4a4e,64c05940-0bed-466e-90de-d51d16096e69,2024-03-09 07:02:31,1970.79,Parker LLC,Martinezbury,Online Purchase,Discover,No
21d0fea0-f511-4703-89fb-2f0c360b28c2,f5fa7f61-47ad-404f-938e-0200b4946af8,2024-01-15 12:27:05,1615.48,Brewer-Dunlap,Kimberlyside,In-Store Purchase,Amex,No
b5599f11-9c52-4eaf-951f-6258090aa016,c1258b46-47bf-4096-b1d1-e55bf233a9cd,2024-08-01 15:11:30,486.51,"Foster, Phillips and Daniel",North Katieville,Online Purchase,Visa,No
